scheme_name,amc,scheme_type,scheme_sub_type,trail_brokerage_incl_gst,amc_normalised
HDFC Pharma And Healthcare Fund,HDFC Mutual Fund,EQUITY,Sectoral Fund,0.87,HDFC Mutual Fund
HDFC Retirement Savings Fund - Equity,HDFC Mutual Fund,EQUITY,Multi Cap Fund,0.87,HDFC Mutual Fund
HDFC Retirement Savings Fund - Hybrid Debt,HDFC Mutual Fund,DEBT,Conservative Hybrid Fund,1.04,HDFC Mutual Fund
HDFC Retirement Savings Fund - Hybrid Equity,HDFC Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.86,HDFC Mutual Fund
HDFC Short Term Debt Fund,HDFC Mutual Fund,DEBT,Short Duration Fund,0.27,HDFC Mutual Fund
HDFC Silver ETF Fund of Fund,HDFC Mutual Fund,OTHERS,Silver Plan,0.32,HDFC Mutual Fund
HDFC Small Cap Fund,HDFC Mutual Fund,EQUITY,Small Cap Fund,0.8,HDFC Mutual Fund
HDFC Technology Fund,HDFC Mutual Fund,EQUITY,Sectoral Fund,0.93,HDFC Mutual Fund
HDFC Transportation and Logistics Fund,HDFC Mutual Fund,EQUITY,Thematic Fund,1.07,HDFC Mutual Fund
HDFC Ultra Short Term Fund,HDFC Mutual Fund,DEBT,Ultra Short Duration Fund,0.33,HDFC Mutual Fund
HDFC Value Fund,HDFC Mutual Fund,EQUITY,Value Fund,0.91,HDFC Mutual Fund
HSBC Aggressive Hybrid Active FOF,HSBC Mutual Fund,EQUITY,FOF Domestic Equity,0.92,HSBC Mutual Fund
HSBC Aggressive Hybrid Fund,HSBC Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.97,HSBC Mutual Fund
HSBC Arbitrage Fund,HSBC Mutual Fund,DEBT,Arbitrage Fund,0.53,HSBC Mutual Fund
HSBC Asia Pacific Dividend Yield Fund,HSBC Mutual Fund,EQUITY,FOF Overseas,0.58,HSBC Mutual Fund
HSBC Balanced Advantage Fund,HSBC Mutual Fund,HYBRID,Balanced Advantage Fund,1.24,HSBC Mutual Fund
HSBC Banking and PSU Debt Fund,HSBC Mutual Fund,DEBT,Banking and PSU Debt Fund,0.28,HSBC Mutual Fund
HSBC Brazil Fund,HSBC Mutual Fund,EQUITY,FOF Overseas,0.72,HSBC Mutual Fund
HSBC Business Cycles Fund,HSBC Mutual Fund,EQUITY,Thematic Fund,1.33,HSBC Mutual Fund
HSBC CRISIL IBX 50-50 Gilt Plus SDL Apr 2028 Index Fund,HSBC Mutual Fund,DEBT,Medium to Long Duration Fund,0.12,HSBC Mutual Fund
HSBC CRISIL IBX Gilt June 2027 Index Fund,HSBC Mutual Fund,DEBT,Medium to Long Duration Fund,0.14,HSBC Mutual Fund
HSBC Conservative Hybrid Fund,HSBC Mutual Fund,DEBT,Conservative Hybrid Fund,1.17,HSBC Mutual Fund
HSBC Consumption Fund,HSBC Mutual Fund,EQUITY,Thematic Fund,1.2,HSBC Mutual Fund
HSBC Corporate Bond Fund,HSBC Mutual Fund,DEBT,Corporate Bond Fund,0.24,HSBC Mutual Fund
HSBC Credit Risk Fund,HSBC Mutual Fund,DEBT,Credit Risk Fund,0.6,HSBC Mutual Fund
HSBC Dynamic Bond Fund,HSBC Mutual Fund,DEBT,Dynamic Bond Fund,0.32,HSBC Mutual Fund
HSBC ELSS Tax saver Fund,HSBC Mutual Fund,EQUITY,ELSS,1.03,HSBC Mutual Fund
HSBC Equity Savings Fund,HSBC Mutual Fund,HYBRID,Equity Savings Fund,0.71,HSBC Mutual Fund
HSBC Financial Services Fund,HSBC Mutual Fund,EQUITY,Sectoral Fund,1.47,HSBC Mutual Fund
HSBC Flexi Cap Fund,HSBC Mutual Fund,EQUITY,Flexi Cap Fund,1.0,HSBC Mutual Fund
HSBC Focused Fund,HSBC Mutual Fund,EQUITY,Focused Fund,1.2,HSBC Mutual Fund
HSBC Gilt Fund,HSBC Mutual Fund,DEBT,Gilt Fund,0.89,HSBC Mutual Fund
HSBC Global Emerging Markets Fund,HSBC Mutual Fund,EQUITY,FOF Overseas,0.72,HSBC Mutual Fund
HSBC Global Equity Climate Change FoF,HSBC Mutual Fund,EQUITY,FOF Overseas,0.67,HSBC Mutual Fund
HSBC India Export Opportunities Fund,HSBC Mutual Fund,EQUITY,Thematic Fund,1.2,HSBC Mutual Fund
HSBC Infrastructure Fund,HSBC Mutual Fund,EQUITY,Thematic Fund,1.12,HSBC Mutual Fund
HSBC Large Cap Fund,HSBC Mutual Fund,EQUITY,Large Cap Fund,1.19,HSBC Mutual Fund
HSBC Large and Mid Cap Fund,HSBC Mutual Fund,EQUITY,Large and Mid Cap Fu,1.03,HSBC Mutual Fund
HSBC Liquid Fund,HSBC Mutual Fund,DEBT,Liquid Fund,0.06,HSBC Mutual Fund
HSBC Low Duration Fund,HSBC Mutual Fund,DEBT,Low Duration Fund,0.55,HSBC Mutual Fund
HSBC Medium Duration Fund,HSBC Mutual Fund,DEBT,Medium Duration Fund,0.55,HSBC Mutual Fund
HSBC Medium to Long Duration Fund,HSBC Mutual Fund,DEBT,Medium to Long Duration Fund,0.72,HSBC Mutual Fund
HSBC Midcap Fund,HSBC Mutual Fund,EQUITY,Mid Cap Fund,0.93,HSBC Mutual Fund
HSBC Money Market Fund,HSBC Mutual Fund,DEBT,Money Market Fund,0.17,HSBC Mutual Fund
HSBC Multi Asset Active FOF,HSBC Mutual Fund,HYBRID,FOF Domestic Hybrid,0.96,HSBC Mutual Fund
HSBC Multi Asset Allocation Fund,HSBC Mutual Fund,HYBRID,Multi Asset Allocation,0.91,HSBC Mutual Fund
HSBC Multicap Fund,HSBC Mutual Fund,EQUITY,Multi Cap Fund,1.0,HSBC Mutual Fund
HSBC Nifty 50 Index Fund,HSBC Mutual Fund,EQUITY,Index / ETF,0.14,HSBC Mutual Fund
HSBC Nifty Next 50 Index Fund,HSBC Mutual Fund,EQUITY,Index / ETF,0.2,HSBC Mutual Fund
HSBC Overnight Fund,HSBC Mutual Fund,DEBT,Overnight Fund,0.04,HSBC Mutual Fund
HSBC Short Duration Fund,HSBC Mutual Fund,DEBT,Short Duration Fund,0.37,HSBC Mutual Fund
HSBC Small Cap Fund,HSBC Mutual Fund,EQUITY,Small Cap Fund,0.91,HSBC Mutual Fund
HSBC Ultra Short Duration Fund,HSBC Mutual Fund,DEBT,Ultra Short Duration Fund,0.17,HSBC Mutual Fund
HSBC Value Fund,HSBC Mutual Fund,EQUITY,Value Fund,0.87,HSBC Mutual Fund
HSBC income Plus Arbitrage Active FOF,HSBC Mutual Fund,DEBT,FOF Domestic Debt,0.39,HSBC Mutual Fund
Helios Balanced Advantage Fund,Helios Mutual Fund,HYBRID,Balanced Advantage Fund,1.52,Helios Mutual Fund
Helios Financial Services Fund,Helios Mutual Fund,EQUITY,Sectoral Fund,1.55,Helios Mutual Fund
Helios Flexi Cap Fund,Helios Mutual Fund,EQUITY,Flexi Cap Fund,1.04,Helios Mutual Fund
Helios Large & Mid cap Fund,Helios Mutual Fund,EQUITY,Large and Mid Cap Fu,1.52,Helios Mutual Fund
Helios Mid Cap Fund,Helios Mutual Fund,EQUITY,Mid Cap Fund,1.38,Helios Mutual Fund
Helios Overnight Fund,Helios Mutual Fund,DEBT,Overnight Fund,0.04,Helios Mutual Fund
Helios Small Cap Fund,Helios Mutual Fund,EQUITY,Small Cap Fund,1.55,Helios Mutual Fund
ICICI Prudential Active Momentum Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.45,ICICI Prudential Mutual Fund
ICICI Prudential All Seasons Bond Fund,ICICI Prudential Mutual Fund,DEBT,Dynamic Bond Fund,0.28,ICICI Prudential Mutual Fund
ICICI Prudential BSE 500 ETF FOF,ICICI Prudential Mutual Fund,EQUITY,FOF Domestic Equity,0.37,ICICI Prudential Mutual Fund
ICICI Prudential BSE Sensex Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.04,ICICI Prudential Mutual Fund
ICICI Prudential Balanced Advantage Fund,ICICI Prudential Mutual Fund,HYBRID,Balanced Advantage Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Banking & PSU Debt Fund,ICICI Prudential Mutual Fund,DEBT,Banking and PSU Debt Fund,0.18,ICICI Prudential Mutual Fund
ICICI Prudential Banking and Financial Services Fund,ICICI Prudential Mutual Fund,EQUITY,Sectoral Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Bharat Consumption Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Bond Fund,ICICI Prudential Mutual Fund,DEBT,Medium to Long Duration Fund,0.2,ICICI Prudential Mutual Fund
ICICI Prudential Business Cycle Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential CRISIL-IBX Financial Services 3-6 Months Debt Index Fund,ICICI Prudential Mutual Fund,DEBT,Medium to Long Duration Fund,0.01,ICICI Prudential Mutual Fund
ICICI Prudential Childrens Fund,ICICI Prudential Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Commodities Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Conglomerate Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Constant Maturity Gilt Fund,ICICI Prudential Mutual Fund,DEBT,Gilt Fund with 10 year constant duration,0.11,ICICI Prudential Mutual Fund
ICICI Prudential Corporate Bond Fund,ICICI Prudential Mutual Fund,DEBT,Corporate Bond Fund,0.13,ICICI Prudential Mutual Fund
ICICI Prudential Credit Risk Fund,ICICI Prudential Mutual Fund,DEBT,Credit Risk Fund,0.32,ICICI Prudential Mutual Fund
ICICI Prudential Diversified Debt Strategy Active FOF,ICICI Prudential Mutual Fund,DEBT,FOF Domestic Debt,0.06,ICICI Prudential Mutual Fund
ICICI Prudential Diversified Equity All Cap Omni FOF,ICICI Prudential Mutual Fund,EQUITY,FOF Domestic Equity,0.22,ICICI Prudential Mutual Fund
ICICI Prudential Dividend Yield Fund,ICICI Prudential Mutual Fund,EQUITY,Dividend Yield Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Dynamic Asset Allocation Active FOF,ICICI Prudential Mutual Fund,HYBRID,FOF Domestic Hybrid,0.44,ICICI Prudential Mutual Fund
ICICI Prudential ELSS Tax Saver Fund,ICICI Prudential Mutual Fund,EQUITY,ELSS,0.44,ICICI Prudential Mutual Fund
ICICI Prudential ESG Exclusionary Strategy Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.45,ICICI Prudential Mutual Fund
ICICI Prudential Energy Opportunities Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Equity & Debt Fund,ICICI Prudential Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Equity Arbitrage Fund,ICICI Prudential Mutual Fund,DEBT,Arbitrage Fund,0.25,ICICI Prudential Mutual Fund
ICICI Prudential Equity Minimum Variance Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Equity Savings Fund,ICICI Prudential Mutual Fund,HYBRID,Equity Savings Fund,0.13,ICICI Prudential Mutual Fund
ICICI Prudential Exports and Services Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential FMCG Fund,ICICI Prudential Mutual Fund,EQUITY,Sectoral Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Flexicap Fund,ICICI Prudential Mutual Fund,EQUITY,Flexi Cap Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Floating Interest Fund,ICICI Prudential Mutual Fund,DEBT,Floater Fund,0.31,ICICI Prudential Mutual Fund
ICICI Prudential Focused Equity Fund,ICICI Prudential Mutual Fund,EQUITY,Focused Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Gilt Fund,ICICI Prudential Mutual Fund,DEBT,Gilt Fund,0.33,ICICI Prudential Mutual Fund
ICICI Prudential Global Advantage Fund,ICICI Prudential Mutual Fund,EQUITY,FOF Overseas,0.25,ICICI Prudential Mutual Fund
ICICI Prudential Global Stable Equity Fund,ICICI Prudential Mutual Fund,EQUITY,FOF Overseas,0.31,ICICI Prudential Mutual Fund
ICICI Prudential Gold ETF FOF,ICICI Prudential Mutual Fund,OTHERS,GOLD PLAN,0.31,ICICI Prudential Mutual Fund
ICICI Prudential Housing Opportunities Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Income Plus Arbitrage Omni FOF,ICICI Prudential Mutual Fund,DEBT,FOF Domestic Debt,0.02,ICICI Prudential Mutual Fund
ICICI Prudential India Opportunities Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Infrastructure Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Innovation Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Large & Mid Cap Fund,ICICI Prudential Mutual Fund,EQUITY,Large and Mid Cap Fu,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Large Cap Fund,ICICI Prudential Mutual Fund,EQUITY,Large Cap Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Liquid Fund,ICICI Prudential Mutual Fund,DEBT,Liquid Fund,0.04,ICICI Prudential Mutual Fund
ICICI Prudential Long Term Bond Fund,ICICI Prudential Mutual Fund,DEBT,Long Duration Fund,0.31,ICICI Prudential Mutual Fund
ICICI Prudential MNC Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.45,ICICI Prudential Mutual Fund
ICICI Prudential Manufacturing Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Medium Term Bond Fund,ICICI Prudential Mutual Fund,DEBT,Medium Duration Fund,0.28,ICICI Prudential Mutual Fund
ICICI Prudential MidCap Fund,ICICI Prudential Mutual Fund,EQUITY,Mid Cap Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Money Market Fund,ICICI Prudential Mutual Fund,DEBT,Money Market Fund,0.04,ICICI Prudential Mutual Fund
ICICI Prudential Multi Sector Passive FOF,ICICI Prudential Mutual Fund,EQUITY,FOF Domestic Equity,0.27,ICICI Prudential Mutual Fund
ICICI Prudential Multi-Asset Fund,ICICI Prudential Mutual Fund,HYBRID,Multi Asset Allocation,0.26,ICICI Prudential Mutual Fund
ICICI Prudential Multicap Fund,ICICI Prudential Mutual Fund,EQUITY,Multi Cap Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential NASDAQ 100 Index Fund,ICICI Prudential Mutual Fund,EQUITY,FOF Overseas,0.24,ICICI Prudential Mutual Fund
ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF,ICICI Prudential Mutual Fund,EQUITY,FOF Domestic Equity,0.25,ICICI Prudential Mutual Fund
ICICI Prudential Nifty 200 Momentum 30 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.4,ICICI Prudential Mutual Fund
ICICI Prudential Nifty 50 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.12,ICICI Prudential Mutual Fund
ICICI Prudential Nifty 500 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.33,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.37,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Auto Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.37,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Bank Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.37,ICICI Prudential Mutual Fund
ICICI Prudential Nifty EV & New Age Automotive ETF FoF,ICICI Prudential Mutual Fund,EQUITY,FOF Domestic Equity,0.09,ICICI Prudential Mutual Fund
ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,ICICI Prudential Mutual Fund,DEBT,Gilt Fund,0.14,ICICI Prudential Mutual Fund
ICICI Prudential Nifty IT Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.4,ICICI Prudential Mutual Fund
ICICI Prudential Nifty LargeMidcap 250 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.25,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Midcap 150 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Next 50 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.31,ICICI Prudential Mutual Fund
ICICI Prudential Nifty PSU Bond Plus SDL Sep 2027 40-60 Index Fund,ICICI Prudential Mutual Fund,DEBT,Medium to Long Duration Fund,0.14,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Pharma Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.4,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Private Bank Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.31,ICICI Prudential Mutual Fund
ICICI Prudential Nifty SDL Dec 2028 Index Fund,ICICI Prudential Mutual Fund,DEBT,Medium to Long Duration Fund,0.14,ICICI Prudential Mutual Fund
ICICI Prudential Nifty SDL Sep 2026 Index Fund,ICICI Prudential Mutual Fund,DEBT,Medium to Long Duration Fund,0.14,ICICI Prudential Mutual Fund
ICICI Prudential Nifty SDL Sep 2027 Index Fund,ICICI Prudential Mutual Fund,DEBT,Medium to Long Duration Fund,0.14,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Smallcap 250 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.33,ICICI Prudential Mutual Fund
ICICI Prudential Nifty Top 15 Equal Weight Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.31,ICICI Prudential Mutual Fund
ICICI Prudential Nifty200 Quality 30 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.25,ICICI Prudential Mutual Fund
ICICI Prudential Nifty200 Value 30 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.27,ICICI Prudential Mutual Fund
ICICI Prudential Nifty50 Equal Weight Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.4,ICICI Prudential Mutual Fund
ICICI Prudential Nifty50 Value 20 Index Fund,ICICI Prudential Mutual Fund,EQUITY,Index / ETF,0.21,ICICI Prudential Mutual Fund
ICICI Prudential Overnight Fund,ICICI Prudential Mutual Fund,DEBT,Overnight Fund,0.04,ICICI Prudential Mutual Fund
ICICI Prudential PSU Equity Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Passive Multi-Asset FoF,ICICI Prudential Mutual Fund,HYBRID,Multi Asset Allocation,0.31,ICICI Prudential Mutual Fund
ICICI Prudential Pharma Healthcare And Diagnostics (P.H.D) Fund,ICICI Prudential Mutual Fund,EQUITY,Sectoral Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Quality Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Quant Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Regular Savings Fund,ICICI Prudential Mutual Fund,DEBT,Conservative Hybrid Fund,0.26,ICICI Prudential Mutual Fund
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan,ICICI Prudential Mutual Fund,HYBRID,Aggressive Hybrid Fund,0.45,ICICI Prudential Mutual Fund
ICICI Prudential Retirement Fund - Hybrid Conservative Plan,ICICI Prudential Mutual Fund,DEBT,Conservative Hybrid Fund,0.45,ICICI Prudential Mutual Fund
ICICI Prudential Retirement Fund - Pure Debt Plan,ICICI Prudential Mutual Fund,DEBT,Medium Duration Fund,0.59,ICICI Prudential Mutual Fund
ICICI Prudential Retirement Fund - Pure Equity Plan,ICICI Prudential Mutual Fund,EQUITY,Multi Cap Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Rural Opportunities Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Savings Fund,ICICI Prudential Mutual Fund,DEBT,Low Duration Fund,0.06,ICICI Prudential Mutual Fund
ICICI Prudential Short Term Fund,ICICI Prudential Mutual Fund,DEBT,Short Duration Fund,0.33,ICICI Prudential Mutual Fund
ICICI Prudential Silver ETF FOF,ICICI Prudential Mutual Fund,OTHERS,Silver Plan,0.35,ICICI Prudential Mutual Fund
ICICI Prudential Smallcap Fund,ICICI Prudential Mutual Fund,EQUITY,Small Cap Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Strategic Metal and Energy Fund of Fund,ICICI Prudential Mutual Fund,EQUITY,FOF Domestic Equity,0.4,ICICI Prudential Mutual Fund
ICICI Prudential Technology,ICICI Prudential Mutual Fund,EQUITY,Sectoral Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential Thematic Advantage Fund,ICICI Prudential Mutual Fund,EQUITY,FOF Domestic Equity,0.12,ICICI Prudential Mutual Fund
ICICI Prudential Transportation and Logistics Fund,ICICI Prudential Mutual Fund,EQUITY,Thematic Fund,0.44,ICICI Prudential Mutual Fund
ICICI Prudential US Bluechip Equity Fund,ICICI Prudential Mutual Fund,EQUITY,FOF Overseas,0.4,ICICI Prudential Mutual Fund
ICICI Prudential Ultra Short Term Fund,ICICI Prudential Mutual Fund,DEBT,Ultra Short Duration Fund,0.21,ICICI Prudential Mutual Fund
ICICI Prudential Value Fund,ICICI Prudential Mutual Fund,EQUITY,Value Fund,0.44,ICICI Prudential Mutual Fund
ISIF Equity Ex-Top 100 Long-Short Fund,iSIF,EQUITY,Long-Short,0.55,iSIF
ITI Arbitrage Fund,ITI Mutual Fund,DEBT,Arbitrage Fund,0.46,ITI Mutual Fund
ITI Balanced Advantage Fund,ITI Mutual Fund,HYBRID,Balanced Advantage Fund,1.36,ITI Mutual Fund
ITI Banking and Financial Services Fund,ITI Mutual Fund,EQUITY,Sectoral Fund,1.36,ITI Mutual Fund
ITI Banking and PSU Fund,ITI Mutual Fund,DEBT,Banking and PSU Debt Fund,0.35,ITI Mutual Fund
ITI Bharat Consumption Fund,ITI Mutual Fund,EQUITY,Thematic Fund,1.36,ITI Mutual Fund
ITI Dynamic Bond Fund,ITI Mutual Fund,DEBT,Dynamic Bond Fund,0.63,ITI Mutual Fund
ITI ELSS Tax Saver Fund,ITI Mutual Fund,EQUITY,ELSS,1.36,ITI Mutual Fund
ITI Flexi Cap Fund,ITI Mutual Fund,EQUITY,Flexi Cap Fund,0.99,ITI Mutual Fund
ITI Focused Fund,ITI Mutual Fund,EQUITY,Focused Fund,1.24,ITI Mutual Fund
ITI Large & Mid Cap Fund,ITI Mutual Fund,EQUITY,Large and Mid Cap Fu,0.99,ITI Mutual Fund
ITI Large Cap Fund,ITI Mutual Fund,EQUITY,Large Cap Fund,1.24,ITI Mutual Fund
ITI Liquid Fund,ITI Mutual Fund,DEBT,Liquid Fund,0.06,ITI Mutual Fund
ITI Mid Cap Fund,ITI Mutual Fund,EQUITY,Mid Cap Fund,0.99,ITI Mutual Fund
ITI Multi Cap Fund,ITI Mutual Fund,EQUITY,Multi Cap Fund,0.99,ITI Mutual Fund
ITI Overnight Fund,ITI Mutual Fund,DEBT,Overnight Fund,0.06,ITI Mutual Fund
ITI Pharma and Healthcare Fund,ITI Mutual Fund,EQUITY,Sectoral Fund,1.36,ITI Mutual Fund
ITI Small Cap Fund,ITI Mutual Fund,EQUITY,Small Cap Fund,0.86,ITI Mutual Fund
ITI Ultra Short Duration Fund,ITI Mutual Fund,DEBT,Ultra Short Duration Fund,0.5,ITI Mutual Fund
ITI Value Fund,ITI Mutual Fund,EQUITY,Value Fund,1.36,ITI Mutual Fund
Invesco India - Invesco EQQQ NASDAQ-100 ETF FoF,Invesco Mutual Fund,EQUITY,FOF Overseas,0.18,Invesco Mutual Fund
Invesco India - Invesco Global Consumer Trends Fund of Fund,Invesco Mutual Fund,EQUITY,FOF Overseas,0.66,Invesco Mutual Fund
Invesco India - Invesco Global Equity Income Fund of Fund,Invesco Mutual Fund,EQUITY,FOF Overseas,0.28,Invesco Mutual Fund
Invesco India - Invesco Pan European Equity Fund of Fund,Invesco Mutual Fund,EQUITY,FOF Overseas,0.28,Invesco Mutual Fund
Invesco India Aggressive Hybrid Fund,Invesco Mutual Fund,HYBRID,Aggressive Hybrid Fund,1.42,Invesco Mutual Fund
Invesco India Arbitrage Fund,Invesco Mutual Fund,DEBT,Arbitrage Fund,0.55,Invesco Mutual Fund
Invesco India Balanced Advantage Fund,Invesco Mutual Fund,HYBRID,Dynamic Asset Allocation,1.24,Invesco Mutual Fund
Invesco India Banking and PSU Fund,Invesco Mutual Fund,DEBT,Banking and PSU Debt Fund,0.24,Invesco Mutual Fund
Invesco India Business Cycle Fund,Invesco Mutual Fund,EQUITY,Thematic Fund,1.46,Invesco Mutual Fund
Invesco India Consumption Fund,Invesco Mutual Fund,EQUITY,Thematic Fund,1.52,Invesco Mutual Fund
Invesco India Corporate Bond Fund,Invesco Mutual Fund,DEBT,Corporate Bond Fund,0.24,Invesco Mutual Fund
Invesco India Credit Risk Fund,Invesco Mutual Fund,DEBT,Credit Risk Fund,0.4,Invesco Mutual Fund
Invesco India ELSS Tax Saver Fund,Invesco Mutual Fund,EQUITY,ELSS,1.04,Invesco Mutual Fund
Invesco India ESG Integration Strategy Fund,Invesco Mutual Fund,EQUITY,Thematic Fund,1.56,Invesco Mutual Fund
Invesco India Equity Savings Fund,Invesco Mutual Fund,HYBRID,Equity Savings Fund,1.29,Invesco Mutual Fund
Invesco India Financial Services Fund,Invesco Mutual Fund,EQUITY,Sectoral Fund,1.29,Invesco Mutual Fund
Invesco India Flexi Cap Fund,Invesco Mutual Fund,EQUITY,Flexi Cap Fund,1.06,Invesco Mutual Fund
Invesco India Focused Fund,Invesco Mutual Fund,EQUITY,Focused Fund,1.01,Invesco Mutual Fund
Invesco India Gilt Fund,Invesco Mutual Fund,DEBT,Gilt Fund,0.6,Invesco Mutual Fund
Invesco India Gold ETF Fund of Fund,Invesco Mutual Fund,OTHERS,GOLD PLAN,0.26,Invesco Mutual Fund
Invesco India Income Plus Arbitrage Active FoF,Invesco Mutual Fund,DEBT,FOF Domestic Debt,0.39,Invesco Mutual Fund
Invesco India Infrastructure Fund,Invesco Mutual Fund,EQUITY,Thematic Fund,1.24,Invesco Mutual Fund
Invesco India Large & Mid Cap Fund,Invesco Mutual Fund,EQUITY,Large and Mid Cap Fu,0.98,Invesco Mutual Fund
Invesco India Largecap Fund,Invesco Mutual Fund,EQUITY,Large Cap Fund,1.18,Invesco Mutual Fund
Invesco India Liquid Fund,Invesco Mutual Fund,DEBT,Liquid Fund,0.04,Invesco Mutual Fund
Invesco India Low Duration Fund,Invesco Mutual Fund,DEBT,Low Duration Fund,0.2,Invesco Mutual Fund
Invesco India Manufacturing Fund,Invesco Mutual Fund,EQUITY,Thematic Fund,1.43,Invesco Mutual Fund
Invesco India Medium Duration Fund,Invesco Mutual Fund,DEBT,Medium Duration Fund,0.6,Invesco Mutual Fund
